30A1,"KATAKANA LETTER SMALL A"
30A2,"KATAKANA LETTER A"
30A3,"KATAKANA LETTER SMALL I"
30A4,"KATAKANA LETTER I"
30A5,"KATAKANA LETTER SMALL U"
30A6,"KATAKANA LETTER U"
30A7,"KATAKANA LETTER SMALL E"
30A8,"KATAKANA LETTER E"
30A9,"KATAKANA LETTER SMALL O"
30AA,"KATAKANA LETTER O"
30AB,"KATAKANA LETTER KA"
30AC,"KATAKANA LETTER GA"
30AD,"KATAKANA LETTER KI"
30AE,"KATAKANA LETTER GI"
30AF,"KATAKANA LETTER KU"
30B0,"KATAKANA LETTER GU"
30B1,"KATAKANA LETTER KE"
30B2,"KATAKANA LETTER GE"
30B3,"KATAKANA LETTER KO"
30B4,"KATAKANA LETTER GO"
30B5,"KATAKANA LETTER SA"
30B6,"KATAKANA LETTER ZA"
30B7,"KATAKANA LETTER SI"
30B8,"KATAKANA LETTER ZI"
30B9,"KATAKANA LETTER SU"
30BA,"KATAKANA LETTER ZU"
30BB,"KATAKANA LETTER SE"
30BC,"KATAKANA LETTER ZE"
30BD,"KATAKANA LETTER SO"
30BE,"KATAKANA LETTER ZO"
30BF,"KATAKANA LETTER TA"
30C0,"KATAKANA LETTER DA"
30C1,"KATAKANA LETTER TI"
30C2,"KATAKANA LETTER DI"
30C3,"KATAKANA LETTER SMALL TU"
30C4,"KATAKANA LETTER TU"
30C5,"KATAKANA LETTER DU"
30C6,"KATAKANA LETTER TE"
30C7,"KATAKANA LETTER DE"
30C8,"KATAKANA LETTER TO"
30C9,"KATAKANA LETTER DO"
30CA,"KATAKANA LETTER NA"
30CB,"KATAKANA LETTER NI"
30CC,"KATAKANA LETTER NU"
30CD,"KATAKANA LETTER NE"
30CE,"KATAKANA LETTER NO"
30CF,"KATAKANA LETTER HA"
30D0,"KATAKANA LETTER BA"
30D1,"KATAKANA LETTER PA"
30D2,"KATAKANA LETTER HI"
30D3,"KATAKANA LETTER BI"
30D4,"KATAKANA LETTER PI"
30D5,"KATAKANA LETTER HU"
30D6,"KATAKANA LETTER BU"
30D7,"KATAKANA LETTER PU"
30D8,"KATAKANA LETTER HE"
30D9,"KATAKANA LETTER BE"
30DA,"KATAKANA LETTER PE"
30DB,"KATAKANA LETTER HO"
30DC,"KATAKANA LETTER BO"
30DD,"KATAKANA LETTER PO"
30DE,"KATAKANA LETTER MA"
30DF,"KATAKANA LETTER MI"
30E0,"KATAKANA LETTER MU"
30E1,"KATAKANA LETTER ME"
30E2,"KATAKANA LETTER MO"
30E3,"KATAKANA LETTER SMALL YA"
30E4,"KATAKANA LETTER YA"
30E5,"KATAKANA LETTER SMALL YU"
30E6,"KATAKANA LETTER YU"
30E7,"KATAKANA LETTER SMALL YO"
30E8,"KATAKANA LETTER YO"
30E9,"KATAKANA LETTER RA"
30EA,"KATAKANA LETTER RI"
30EB,"KATAKANA LETTER RU"
30EC,"KATAKANA LETTER RE"
30ED,"KATAKANA LETTER RO"
30EE,"KATAKANA LETTER SMALL WA"
30EF,"KATAKANA LETTER WA"
30F0,"KATAKANA LETTER WI"
30F1,"KATAKANA LETTER WE"
30F2,"KATAKANA LETTER WO"
30F3,"KATAKANA LETTER N"
30F4,"KATAKANA LETTER VU"
30F5,"KATAKANA LETTER SMALL KA"
30F6,"KATAKANA LETTER SMALL KE"
30F7,"KATAKANA LETTER VA"
30F8,"KATAKANA LETTER VI"
30F9,"KATAKANA LETTER VE"
30FA,"KATAKANA LETTER VO"
30FF,"KATAKANA DIGRAPH KOTO"
31F0,"KATAKANA LETTER SMALL KU"
31F1,"KATAKANA LETTER SMALL SI"
31F2,"KATAKANA LETTER SMALL SU"
31F3,"KATAKANA LETTER SMALL TO"
31F4,"KATAKANA LETTER SMALL NU"
31F5,"KATAKANA LETTER SMALL HA"
31F6,"KATAKANA LETTER SMALL HI"
31F7,"KATAKANA LETTER SMALL HU"
31F8,"KATAKANA LETTER SMALL HE"
31F9,"KATAKANA LETTER SMALL HO"
31FA,"KATAKANA LETTER SMALL MU"
31FB,"KATAKANA LETTER SMALL RA"
31FC,"KATAKANA LETTER SMALL RI"
31FD,"KATAKANA LETTER SMALL RU"
31FE,"KATAKANA LETTER SMALL RE"
31FF,"KATAKANA LETTER SMALL RO"
FF66,"HALFWIDTH KATAKANA LETTER WO"
FF67,"HALFWIDTH KATAKANA LETTER SMALL A"
FF68,"HALFWIDTH KATAKANA LETTER SMALL I"
FF69,"HALFWIDTH KATAKANA LETTER SMALL U"
